objectid,shape,classcode,cnn,f_node_cnn,f_st,nhood,oneway,st_type,streetname,t_st,zip_code,slw_st,length,extents,status,phase,install_date,agency,type,supervisor_district,data_as_of,data_loaded_at
1291,"LINESTRING (-122.487433564 37.774290092, -122.488505758 37.774241084)",5,3495000,27528000,28TH AVE,Outer Richmond,B,ST,CABRILLO ST,29TH AVE,94121,1,0.05879311,23rd Ave to 45th Ave,Implemented,3,10/20/2020 05:00:00 PM,MTA,Non-local access,1,04/28/2023 02:29:50 PM,01/18/2024 03:33:32 PM
1286,"LINESTRING (-122.493867856 37.773995847, -122.494938693 37.773946842)",5,3501000,27825000,34TH AVE,Outer Richmond,B,ST,CABRILLO ST,35TH AVE,94121,1,0.05871917,23rd Ave to 45th Ave,Implemented,3,10/20/2020 05:00:00 PM,MTA,Non-local access,1,04/28/2023 02:29:50 PM,01/18/2024 03:33:32 PM
438,"LINESTRING (-122.461470836 37.786816064, -122.462546556 37.78676805)",5,8011000,27584000,03RD AVE,Presidio Heights,B,ST,LAKE ST,04TH AVE,94118,1,0.058972,28th Avenue to Arguello Boulevard,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,1,11/23/2021 04:11:01 PM,01/18/2024 03:33:32 PM
432,"LINESTRING (-122.477644057 37.786079795, -122.478713573 37.78603127)",5,8027000,27634000,18TH AVE,Inner Richmond,B,ST,LAKE ST,19TH AVE,94121,1,0.05863556,28th Avenue to Arguello Boulevard,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,1,11/23/2021 04:11:01 PM,01/18/2024 03:33:32 PM
435,"LINESTRING (-122.473255083 37.786288101, -122.474382842 37.786238018)",5,8023000,27622000,14TH AVE,Inner Richmond,B,ST,LAKE ST,15TH AVE,94118,1,0.06182429,28th Avenue to Arguello Boulevard,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,1,11/23/2021 04:11:01 PM,01/18/2024 03:33:32 PM
433,"LINESTRING (-122.487286365 37.785648841, -122.488140379 37.785611775)",5,8036000,27659000,27TH AVE,Seacliff,B,ST,LAKE ST,28TH AVE,94121,1,0.04681459,28th Avenue to Arguello Boulevard,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,1,11/23/2021 04:11:01 PM,01/18/2024 03:33:32 PM
1604,"LINESTRING (-122.497082371 37.773848713, -122.4981493 37.773799858)",5,3504000,27863000,37TH AVE,Outer Richmond,B,ST,CABRILLO ST,38TH AVE,94121,1,0.05850511,23rd Ave to 45th Ave,Implemented,3,10/20/2020 05:00:00 PM,MTA,Non-local access,1,04/28/2023 02:29:50 PM,01/18/2024 03:33:32 PM
648,"LINESTRING (-122.482318449 37.776399887, -122.482183772 37.774534489)",5,1216000,27533000,BALBOA ST,Outer Richmond,B,AVE,23RD AVE,CABRILLO ST,94121,1,0.12886334,Lake to Cabrillo,Implemented,2,06/09/2020 05:00:00 PM,MTA,Non-local access,1,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
1612,"LINESTRING (-122.442476421 37.789662961, -122.444119473 37.789457083)",5,4117000,26854000,BRODERICK ST,Pacific Heights,B,ST,CLAY ST,BAKER ST,94115,1,0.09104227,Arguello to Steiner,Implemented,3,10/05/2020 05:00:00 PM,MTA,Non-local access,2,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
100,"LINESTRING (-122.428990052 37.773247801, -122.430629085 37.773039299)",5,10174000,25901000,WEBSTER ST,Western Addition,B,ST,PAGE ST,FILLMORE ST,94117,1,0.09087306,Stanyan to Gough,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,5,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
